Sr. No.,Date,Exhibition Id,Visitor Id,Products,Payment Mode,Amount
1,25/Dec/2019,KOL12019,KOL1941617,Accessories,Cash,1350
2,25/Dec/2019,KOL12019,KOL1932365,Accessories,Cash,75000
3,19/Dec/2019,KOL12019,KOL1951287,Accessories,Cash,1000
4,18/Dec/2019,KOL12019,KOL1982621,Accessories,Cash,2000
5,18/Dec/2019,KOL12019,KOL1808748,Accessories,Cash,2350
6,18/Dec/2019,KOL12019,KOL1982621,Accessories,Cash,500
7,25/Dec/2019,KOL12019,KOL1954121,Air Cooler,Cash,5000
8,24/Dec/2019,KOL12019,KOL1963767,Air Cooler,Cash,5500
9,24/Dec/2019,KOL12019,KOL1985231,Air Cooler,Cash,5200
10,24/Dec/2019,KOL12019,KOL1978761,Air Cooler,Cash,8750
11,22/Dec/2019,KOL12019,KOL1934673,Air Cooler,Cash,5500
12,22/Dec/2019,KOL12019,KOL1917418,Air Cooler,Cash,15200
13,21/Dec/2019,KOL12019,KOL1914814,Air Cooler,Cash,11000
14,20/Dec/2019,KOL12019,KOL1942882,Air Cooler,Cash,11700
15,20/Dec/2019,KOL12019,KOL1918236,Air Cooler,Cash,5700
16,20/Dec/2019,KOL12019,KOL1915851,Air Cooler,Cash,5700
17,17/Dec/2019,KOL12019,KOL1978634,Air Cooler,Cash,5700
18,17/Dec/2019,KOL12019,KOL1914615,Air Cooler,Cash,10000
19,17/Dec/2019,KOL12019,KOL1978634,Air Cooler,Cash,5700
20,17/Dec/2019,KOL12019,KOL1913867,Air Cooler,Cash,6800
21,17/Dec/2019,KOL12019,KOL1933356,Air Cooler,Cash,5200
22,15/Dec/2019,KOL12019,KOL1947837,Air Cooler,Cash,6000
23,15/Dec/2019,KOL12019,KOL1924351,Air Cooler,Credit Card,1100
24,15/Dec/2019,KOL12019,KOL1924351,Air Cooler,Cash,1530
25,14/Dec/2019,KOL12019,KOL1151565,Air Cooler,Cash,5700
26,14/Dec/2019,KOL12019,KOL1932226,Air Cooler,Cash,5300
27,23/Dec/2019,KOL12019,KOL1943516,artificial candle & lights,Cash,10300
28,22/Dec/2019,KOL12019,KOL1976831,artificial candle & lights,Cash,2500
29,21/Dec/2019,KOL12019,KOL1928617,artificial candle & lights,Cash,2000
30,21/Dec/2019,KOL12019,KOL1965816,artificial candle & lights,Cash,2900
31,21/Dec/2019,KOL12019,KOL1918643,artificial candle & lights,Cash,500
32,19/Dec/2019,KOL12019,KOL1914165,artificial candle & lights,Cash,900
33,18/Dec/2019,KOL12019,KOL1937886,artificial candle & lights,Cash,2500
34,15/Dec/2019,KOL12019,KOL1945372,artificial candle & lights,Cash,2400
35,25/Dec/2019,KOL12019,KOL1900333,Attar,Credit Card,900
36,25/Dec/2019,KOL12019,KOL1926774,Attar,Cash,8400
37,23/Dec/2019,KOL12019,KOL1982178,Attar,Net Banking,5040
38,23/Dec/2019,KOL12019,KOL1982178,Attar,Cash,5040
39,23/Dec/2019,KOL12019,KOL1925772,Attar,Cash,2850
40,23/Dec/2019,KOL12019,KOL1957571,Attar,Cash,3250
41,23/Dec/2019,KOL12019,KOL1965688,Attar,Cash,2850
42,23/Dec/2019,KOL12019,KOL1954212,Attar,Cash,700
43,22/Dec/2019,KOL12019,KOL1981856,Attar,Cash,20100
44,22/Dec/2019,KOL12019,KOL1937223,Attar,Cash,10000
45,22/Dec/2019,KOL12019,KOL1973226,Attar,Cash,3700
46,21/Dec/2019,KOL12019,KOL1987175,Attar,Cash,2130
47,19/Dec/2019,KOL12019,KOL1961173,Attar,Cash,150
48,19/Dec/2019,KOL12019,KOL1942446,Attar,Credit Card,3550
49,18/Dec/2019,KOL12019,KOL1967657,Attar,Cash,200
50,16/Dec/2019,KOL12019,KOL1968857,Attar,Cash,450
51,15/Dec/2019,KOL12019,KOL1945387,Attar,Cash,500
52,25/Dec/2019,KOL12019,KOL1972432,Bag,Cash,2500
53,24/Dec/2019,KOL12019,KOL1911156,Bag,Cash,5300
54,24/Dec/2019,KOL12019,KOL1961553,Bag,Cash,2000
55,24/Dec/2019,KOL12019,KOL1918164,Bag,Cash,5850
56,24/Dec/2019,KOL12019,KOL1966578,Bag,Cash,1000
57,24/Dec/2019,KOL12019,KOL1985344,Bag,Cash,2700
58,24/Dec/2019,KOL12019,KOL1921866,Bag,Cash,700
59,24/Dec/2019,KOL12019,KOL1975236,Bag,Cash,2000
60,23/Dec/2019,KOL12019,KOL1947468,Bag,Cash,5850
61,23/Dec/2019,KOL12019,KOL1935385,Bag,Cash,5200
62,23/Dec/2019,KOL12019,KOL1832746,Bag,Cash,5490
63,23/Dec/2019,KOL12019,KOL1951323,Bag,Cash,3400
64,22/Dec/2019,KOL12019,KOL1941825,Bag,Cash,2500
65,22/Dec/2019,KOL12019,KOL1973226,Bag,Cash,1270
66,21/Dec/2019,KOL12019,KOL1954547,Bag,Cash,1450
67,21/Dec/2019,KOL12019,KOL1921374,Bag,Cash,1800
68,21/Dec/2019,KOL12019,KOL1963544,Bag,Cash,1000
69,21/Dec/2019,KOL12019,KOL1952614,Bag,Cash,3600
70,21/Dec/2019,KOL12019,KOL1805371,Bag,Cash,3000
