Sr. No.,Date,ExhibitionId,Products,Mega Consumer Card No.,Payment Mode,Amount
1,20-Dec-18,KOL12018,Bedsheet,KOL1957826,Cash,10000
2,20-Dec-18,KOL12018,Furniture,KOL1968415,Cash,5000
3,20-Dec-18,KOL12018,Remote Covers,KOL1987235,Cash,3500
4,21-Dec-18,KOL12018,Necklace,KOL1937523,Cash,4000
5,17-Dec-18,KOL12018,"Product Name dummy text,artificial candle & lights",KOL1986858,Credit Card,3500
6,21-Dec-18,KOL12018,Saffron,KOL1934063,Credit Card,1700
7,21-Dec-18,KOL12018,Steam Irons,KOL1942471,Cash,2100
8,25-Dec-18,KOL12018,Cloths,KOL1951645,Cash,5000
9,16-Dec-18,KOL12018,Garments,KOL1950265,Cash,1150
10,21-Dec-18,KOL12018,Garments,KOL1961251,Cash,5000
11,21-Dec-18,KOL12018,Jamdani Saree,KOL1917561,Cash,5000
12,23-Dec-18,KOL12018,Jamdani Saree,KOL1945824,Net Banking,3000
13,18-Dec-18,KOL12018,Chappals,KOL1977837,Cash,7800
14,18-Dec-18,KOL12018,Jamdani Saree,KOL1937523,Cash,2750
15,18-Dec-18,KOL12018,Necklace,KOL1948488,Cash,25000
16,15-Dec-18,KOL12018,Fruit Juices,KOL1944171,Cash,5100
17,22-Dec-18,KOL12018,Flavored Drinks,KOL1952587,Cash,3500
18,22-Dec-18,KOL12018,Carpet,KOL1977687,Cash,2500
19,22-Dec-18,KOL12018,Carpet,KOL1926427,Cash,1200
20,24-Dec-18,KOL12018,Garments,KOL1924855,Cash,4000
21,22-Dec-18,KOL12018,kurti,KOL1958122,Credit Card,2000
22,24-Dec-18,KOL12018,Crockery,KOL1952326,Credit Card,16990
23,21-Dec-18,KOL12018,Garments,KOL1942471,Cash,950
24,24-Dec-18,KOL12018,Massager,KOL1978155,Credit Card,7500
25,25-Dec-18,KOL12018,Home Appliances,KOL1987646,Cash,1690
26,25-Dec-18,KOL12018,Garments,KOL1966874,Cash,3000
27,25-Dec-18,KOL12018,kurti,KOL1987235,Cash,2750
28,19-Dec-18,KOL12018,Suits,KOL1987646,Cash,2000
29,19-Dec-18,KOL12018,Tea,KOL1933540,Cash,2500
30,20-Dec-18,KOL12018,Home Decor,KOL1911812,Cash,12000
31,24-Dec-18,KOL12018,Air Cooler,KOL1912873,Cash,3500
32,24-Dec-18,KOL12018,Garments,KOL1971327,Cash,11000
33,19-Dec-18,KOL12018,Shawl,KOL1946842,Credit Card,10500
34,21-Dec-18,KOL12018,Massager,KOL1914852,Cash,2000
35,22-Dec-18,KOL12018,Carpet,KOL1985383,Cash,5000
36,22-Dec-18,KOL12018,Garments,KOL1937523,Cash,6200
37,21-Dec-18,KOL12018,Jamdani Saree,KOL1917561,Cash,2000
38,21-Dec-18,KOL12018,Suits,KOL1962181,Cash,700
39,25-Dec-18,KOL12018,income tax,KOL1972822,Cash,10400
40,20-Dec-18,KOL12018,Garments,KOL1918766,Cash,900
41,20-Dec-18,KOL12018,Garments,KOL1986111,Cash,2750
42,16-Dec-18,KOL12018,Suits,KOL1976577,Cash,5000
43,25-Dec-18,KOL12018,Flavored Drinks,KOL1914852,Cash,500
44,25-Dec-18,KOL12018,Garments,KOL1987713,Cash,5000
45,25-Dec-18,KOL12018,healthacare products,KOL1937523,Cash,5800
46,25-Dec-18,KOL12018,Pulses,KOL1954146,Cash,5500
47,25-Dec-18,KOL12018,Tea,KOL1971327,Cash,25000
48,20-Dec-18,KOL12018,Suits,KOL1977862,Cash,6900
49,24-Dec-18,KOL12018,Suits,KOL1926427,Cash,400
50,23-Dec-18,KOL12018,Garments,KOL1963347,Credit Card,800
51,15-Dec-18,KOL12018,Garments,KOL1932866,Cash,10000
52,22-Dec-18,KOL12018,Suits,KOL1976247,Cash,1500
53,24-Dec-18,KOL12018,gym products,KOL1928461,Cash,2300
54,21-Dec-18,KOL12018,Carpet,KOL1962181,Cash,2500
55,21-Dec-18,KOL12018,Suits,KOL1960442,Cash,1500
